,d15N,d13C,site_factor,sitetype_factor,date_factor
1,5.77,-18.74,2,1,37
2,5.60,-19.54,2,1,58
3,6.02,-24.39,18,1,17
4,6.96,-24.48,18,1,42
5,7.56,-22.96,21,1,15
6,5.90,-23.98,1,1,39
7,7.92,-23.96,2,1,58
8,6.33,-21.93,2,1,37
9,5.32,-22.96,10,2,18
10,5.39,-20.32,24,2,36
11,5.68,-23.53,6,2,41
12,5.89,-22.06,9,2,71
13,5.59,-19.02,22,2,27
14,5.54,-20.53,9,2,18
15,6.79,-22.95,9,2,29
16,5.50,-24.43,23,1,38
17,8.14,-24.35,1,1,39
18,7.30,-21.69,14,1,15
19,5.63,-23.98,1,1,39
20,8.22,-23.92,10,2,39
21,4.75,-22.98,24,2,36
22,4.50,-24.12,5,2,18
23,5.67,-22.73,12,2,70
24,7.01,-24.19,13,1,45
25,6.49,-23.05,20,1,62
26,7.80,-24.42,13,1,31
27,5.19,-24.04,13,1,31
28,6.85,-24.91,13,1,21
29,7.97,-23.60,14,1,36
30,7.42,-23.65,14,1,15
31,6.31,-24.30,1,1,18
32,5.86,-24.63,18,1,16
33,6.53,-24.62,2,1,37
34,7.81,-25.18,2,1,37
35,7.54,-24.01,14,1,15
36,7.35,-22.95,16,1,16
37,5.70,-23.66,7,2,15
38,8.15,-24.55,10,2,18
39,5.99,-23.78,7,2,33
40,7.09,-24.19,6,2,16
41,8.15,-24.11,10,2,39
42,7.93,-24.68,11,2,32
43,7.64,-23.75,4,2,25
44,8.21,-24.75,11,2,42
45,6.48,-24.48,8,2,24
46,6.95,-21.38,12,2,70
47,6.16,-22.73,12,2,68
48,6.56,-22.57,12,2,21
49,5.58,-24.31,22,2,27
50,7.31,-24.20,20,1,62
51,5.92,-23.33,23,1,17
52,8.63,-22.79,3,1,0
53,8.34,-22.91,3,1,0
54,6.73,-22.52,3,1,12
55,7.34,-22.73,3,1,39
56,6.85,-23.83,3,1,39
57,7.62,-23.76,2,1,23
58,6.44,-23.72,24,2,18
59,7.49,-23.75,11,2,32
60,6.06,-24.16,24,2,18
61,8.07,-24.12,6,2,16
62,6.80,-23.66,10,2,18
63,5.80,-24.36,24,2,36
64,5.53,-24.36,9,2,29
65,5.90,-23.83,12,2,70
66,8.84,-23.78,9,2,18
67,7.15,-23.61,12,2,21
68,7.31,-23.71,12,2,70
69,6.36,-22.30,19,1,22
70,7.33,-23.35,22,2,10
71,14.12,-24.57,2,1,23
72,8.05,-23.72,3,1,32
73,7.16,-23.96,15,1,26
74,6.10,-24.50,2,1,37
75,7.70,-25.04,1,1,39
76,7.84,-24.17,3,1,12
77,9.06,-24.79,1,1,39
78,6.14,-24.14,16,1,48
79,10.99,-24.68,2,1,37
80,15.75,-25.04,2,1,16
81,12.10,-24.26,3,1,18
82,7.15,-23.88,15,1,26
83,6.01,-24.03,16,1,16
84,8.27,-24.11,14,1,15
85,6.46,-24.36,1,1,18
86,7.78,-24.25,7,2,43
87,5.70,-23.96,24,2,36
88,6.59,-23.97,11,2,32
89,7.66,-24.44,5,2,18
90,14.88,-24.43,5,2,18
91,7.28,-24.01,10,2,18
92,6.93,-25.06,7,2,43
93,6.46,-25.26,11,2,39
94,6.73,-24.81,8,2,24
95,7.67,-24.62,4,2,42
96,5.49,-24.59,24,2,39
97,5.38,-24.73,12,2,38
98,6.41,-24.50,22,2,27
99,6.48,-24.45,22,2,27
100,5.75,-24.76,12,2,70
101,6.62,-24.12,22,2,56
102,7.57,-25.30,22,2,56
103,9.62,-23.47,19,1,24
104,8.01,-24.00,20,1,15
105,5.28,-24.58,23,1,17
106,4.63,-24.65,23,1,17
107,8.48,-25.33,9,2,70
108,5.61,-24.18,1,1,18
109,6.14,-24.74,1,1,18
110,5.74,-23.45,15,1,26
111,6.53,-24.38,14,1,36
112,6.05,-24.40,1,1,18
113,5.62,-23.41,5,2,18
114,5.55,-23.79,5,2,18
115,4.88,-24.35,4,2,25
116,5.95,-24.48,24,2,18
117,6.48,-23.80,10,2,18
118,6.11,-24.07,7,2,33
119,4.85,-24.27,4,2,25
120,5.58,-24.40,8,2,38
121,5.44,-24.00,4,2,25
122,5.17,-23.94,12,2,21
123,3.46,-25.61,12,2,68
124,5.07,-25.27,22,2,27
125,6.00,-24.42,22,2,16
126,5.38,-24.70,9,2,58
127,4.24,-24.26,9,2,28
128,4.93,-24.83,22,2,27
129,5.39,-24.13,9,2,17
130,6.50,-24.16,17,2,16
131,5.36,-24.74,12,2,56
132,5.40,-24.21,13,1,14
133,7.34,-24.50,13,1,45
134,6.95,-24.47,13,1,45
135,5.37,-24.15,13,1,14
136,5.75,-23.63,3,1,12
137,4.63,-27.51,12,2,38
138,6.29,-24.04,7,2,33
139,6.18,-24.12,7,2,33
140,6.01,-23.98,24,2,61
141,4.81,-24.47,12,2,21
142,5.65,-24.50,13,1,14
143,6.06,-23.80,17,2,16
144,4.13,-24.70,12,2,21
145,5.90,-24.11,8,2,21
146,5.40,-24.03,1,1,18
147,6.61,-24.13,7,2,33
148,6.11,-23.92,5,2,18
149,5.88,-24.37,18,1,42
150,6.27,-24.42,10,2,39
151,8.04,-25.03,17,2,30
152,8.57,-24.74,17,2,47
