ID,taxa,tissue_type,species,site,site_type,sample_type,year,Linear.corr.d15N,wt..N,Linear.corr.d13C,wt..C,cal_sample_date,enrich_day,days_since_enrich
15-NSOSP-012,bird,rbc,sosp,19,native,control,2015,5.47,15.06,-18.56,47.28,120,120,0
15-NSOSP-013,bird,rbc,sosp,2,native,control,2015,5.73,15.26,-21.83,48.52,116,124,0
15-NSOSP-014,bird,rbc,sosp,5,nonnative,control,2015,6.00,15.14,-19.18,47.82,138,139,0
15-NSOSP-015,bird,rbc,sosp,17,native,control,2015,5.88,14.97,-19.26,47.16,119,140,0
15-NSOSP-016,bird,rbc,sosp,16,native,control,2015,5.27,15.09,-20.76,47.65,115,130,0
15-NSOSP-017,bird,rbc,sosp,8,nonnative,control,2015,5.91,14.84,-23.17,47.01,131,138,0
15-NSOSP-018,bird,rbc,sosp,7,nonnative,control,2015,5.75,15.23,-17.67,48.06,124,135,0
15-NSOSP-019,bird,rbc,sosp,6,nonnative,control,2015,5.57,15.03,-22.95,47.36,123,125,0
N15-NSOSP-028,bird,rbc,sosp,2,native,enriched,2015,5.77,15.75,-18.74,49.29,161,124,37
N15-NSOSP-029,bird,rbc,sosp,2,native,enriched,2015,5.60,16.00,-19.54,50.15,182,124,58
N15-NSOSP-030,bird,rbc,sosp,19,native,enriched,2015,6.02,15.59,-24.39,49.04,137,120,17
N15-NSOSP-031,bird,rbc,sosp,19,native,enriched,2015,6.96,15.78,-24.48,49.52,162,120,42
N15-NSOSP-032,bird,rbc,sosp,22,native,enriched,2015,7.56,15.91,-22.96,49.43,142,127,15
N15-NSOSP-033,bird,rbc,sosp,1,native,enriched,2015,5.90,15.66,-23.98,49.33,169,130,39
N15-NSOSP-034,bird,rbc,sosp,2,native,enriched,2015,7.92,15.68,-23.96,48.99,182,124,58
N15-NSOSP-035,bird,rbc,sosp,2,native,enriched,2015,6.33,15.58,-21.93,48.95,161,124,37
E15-NSOSP-107,bird,rbc,sosp,11,nonnative,enriched,2015,5.32,15.59,-22.96,49.64,152,134,18
E15-NSOSP-108,bird,rbc,sosp,25,nonnative,enriched,2015,5.39,15.54,-20.32,49.40,161,125,36
E15-NSOSP-109,bird,rbc,sosp,6,nonnative,enriched,2015,5.68,15.76,-23.53,50.41,166,125,41
E16-NSOSP-001,bird,rbc,sosp,9,nonnative,enriched,2016,5.89,15.42,-22.06,49.65,201,130,71
E16-NSOSP-002,bird,rbc,sosp,23,nonnative,enriched,2016,5.59,15.47,-19.02,50.19,154,127,27
E16-NSOSP-003,bird,rbc,sosp,9,nonnative,enriched,2016,5.54,15.06,-20.53,48.69,148,130,18
E16-NSOSP-004,bird,rbc,sosp,9,nonnative,enriched,2016,6.79,15.38,-22.95,49.77,159,130,29
N16-NSOSP-007,bird,rbc,sosp,24,native,enriched,2016,5.50,14.00,-24.43,46.26,193,155,38
N16-NSOSP-001,bird,rbc,sosp,23,nonnative,control,2016,5.46,15.54,-17.33,49.14,117,127,0
N16-NSOSP-002,bird,rbc,sosp,23,nonnative,control,2016,5.16,15.34,-19.96,48.73,117,127,0
N16-NSOSP-003,bird,rbc,sosp,9,nonnative,control,2016,5.75,15.52,-24.20,49.20,119,130,0
N16-NSOSP-004,bird,rbc,sosp,10,nonnative,control,2016,5.86,15.53,-21.39,49.19,120,130,0
N16-NSOSP-005,bird,rbc,sosp,9,nonnative,control,2016,6.03,15.35,-23.64,48.62,119,130,0
N16-NSOSP-006,bird,rbc,sosp,20,native,control,2016,5.95,15.58,-22.45,49.58,117,125,0
15-NNOCA-028,bird,rbc,noca,17,native,control,2015,5.89,15.11,-23.03,48.49,119,140,0
15-NNOCA-029,bird,rbc,noca,3,native,control,2015,5.85,15.21,-22.16,48.45,116,128,0
15-NNOCA-030,bird,rbc,noca,11,nonnative,control,2015,6.05,15.19,-21.24,48.40,134,134,0
15-NNOCA-031,bird,rbc,noca,14,native,control,2015,5.39,15.10,-23.53,48.44,119,139,0
15-NNOCA-033,bird,rbc,noca,2,native,control,2015,6.91,14.87,-23.17,47.56,116,124,0
15-NNOCA-034,bird,rbc,noca,1,native,control,2015,5.41,15.27,-23.40,48.84,125,130,0
15-NNOCA-035,bird,rbc,noca,7,nonnative,control,2015,6.78,15.40,-21.58,49.30,124,135,0
15-NNOCA-036,bird,rbc,noca,1,native,control,2015,5.88,15.55,-23.12,49.80,117,130,0
N15-NNOCA-037,bird,rbc,noca,1,native,enriched,2015,8.14,15.76,-24.35,49.37,169,130,39
N15-NNOCA-040,bird,rbc,noca,15,native,enriched,2015,7.30,15.11,-21.69,48.32,149,134,15
N15-NNOCA-041,bird,rbc,noca,1,native,enriched,2015,5.63,15.81,-23.98,50.48,169,130,39
E15-NNOCA-101,bird,rbc,noca,11,nonnative,enriched,2015,8.22,15.55,-23.92,49.91,173,134,39
E15-NNOCA-103,bird,rbc,noca,25,nonnative,enriched,2015,4.75,15.54,-22.98,49.62,161,125,36
E15-NNOCA-104,bird,rbc,noca,5,nonnative,enriched,2015,4.50,15.08,-24.12,48.11,157,139,18
E16-NNOCA-001,bird,rbc,noca,13,nonnative,enriched,2016,5.67,15.18,-22.73,49.59,195,125,70
N16-NNOCA-006,bird,rbc,noca,14,native,enriched,2016,7.01,15.36,-24.19,49.49,184,139,45
N16-NNOCA-007,bird,rbc,noca,21,native,enriched,2016,6.49,15.31,-23.05,49.22,191,129,62
N16-NNOCA-008,bird,rbc,noca,14,native,enriched,2016,7.80,14.35,-24.42,47.97,170,139,31
N16-NNOCA-009,bird,rbc,noca,14,native,enriched,2016,5.19,15.04,-24.04,48.39,170,139,31
N16-NBIRD-024,bird,rbc,noca,14,native,enriched,2016,6.85,8.91,-24.91,42.30,160,139,21
N16-NNOCA-001,bird,rbc,noca,13,nonnative,control,2016,5.82,15.92,-22.16,50.90,115,125,0
N16-NNOCA-002,bird,rbc,noca,9,nonnative,control,2016,4.99,15.43,-23.97,49.16,119,130,0
N16-NNOCA-003,bird,rbc,noca,14,native,control,2016,3.57,15.23,-23.91,49.03,124,139,0
N16-NNOCA-004,bird,rbc,noca,21,native,control,2016,4.84,15.31,-23.29,48.74,118,129,0
N16-NNOCA-005,bird,rbc,noca,14,native,control,2016,5.13,14.66,-24.12,47.90,124,139,0
15-NGRCA-046,bird,rbc,grca,6,nonnative,control,2015,7.07,15.40,-23.68,49.40,117,125,0
15-NGRCA-047,bird,rbc,grca,12,nonnative,control,2015,7.87,14.48,-25.01,48.43,121,121,0
15-NGRCA-048,bird,rbc,grca,11,nonnative,control,2015,7.77,15.47,-23.99,49.61,134,134,0
15-NGRCA-049,bird,rbc,grca,11,nonnative,control,2015,6.92,15.43,-25.01,49.44,134,134,0
15-NGRCA-050,bird,rbc,grca,5,nonnative,control,2015,6.04,15.49,-24.05,49.64,138,139,0
15-NGRCA-051,bird,rbc,grca,2,native,control,2015,5.38,15.39,-25.04,49.21,116,124,0
15-NGRCA-052,bird,rbc,grca,7,nonnative,control,2015,6.53,15.32,-24.34,48.93,124,135,0
15-NGRCA-053,bird,rbc,grca,25,nonnative,control,2015,4.66,15.07,-23.79,48.14,119,125,0
15-NGRCA-054,bird,rbc,grca,7,nonnative,control,2015,5.08,15.29,-23.86,48.93,124,135,0
15-NGRCA-055,bird,rbc,grca,5,nonnative,control,2015,6.83,14.94,-24.38,47.75,138,139,0
15-NGRCA-056,bird,rbc,grca,2,native,control,2015,6.86,15.36,-24.38,48.91,116,124,0
15-NGRCA-057,bird,rbc,grca,12,nonnative,control,2015,6.80,15.30,-25.76,48.90,121,121,0
15-NGRCA-058,bird,rbc,grca,1,native,control,2015,6.39,15.34,-25.67,48.90,125,130,0
15-NGRCA-059,bird,rbc,grca,7,nonnative,control,2015,5.55,15.31,-24.39,49.09,124,135,0
15-NGRCA-060,bird,rbc,grca,5,nonnative,control,2015,5.86,15.63,-24.42,50.10,138,139,0
15-NGRCA-061,bird,rbc,grca,7,nonnative,control,2015,8.68,15.27,-24.28,49.50,124,135,0
N15-NGRCA-049,bird,rbc,grca,15,native,enriched,2015,7.97,15.92,-23.60,50.95,170,134,36
N15-NGRCA-052,bird,rbc,grca,15,native,enriched,2015,7.42,15.86,-23.65,50.58,149,134,15
N15-NGRCA-053,bird,rbc,grca,1,native,enriched,2015,6.31,15.28,-24.30,49.09,148,130,18
N15-NGRCA-054,bird,rbc,grca,19,native,enriched,2015,5.86,15.67,-24.63,50.03,136,120,16
N15-NGRCA-055,bird,rbc,grca,2,native,enriched,2015,6.53,15.77,-24.62,50.46,161,124,37
N15-NGRCA-056,bird,rbc,grca,2,native,enriched,2015,7.81,15.64,-25.18,50.18,161,124,37
N15-NGRCA-057,bird,rbc,grca,15,native,enriched,2015,7.54,15.76,-24.01,50.58,149,134,15
N15-NGRCA-058,bird,rbc,grca,17,native,enriched,2015,7.35,15.09,-22.95,48.16,156,140,16
E15-NGRCA-087,bird,rbc,grca,7,nonnative,enriched,2015,5.70,15.38,-23.66,49.56,150,135,15
E15-NGRCA-090,bird,rbc,grca,11,nonnative,enriched,2015,8.15,13.93,-24.55,49.70,152,134,18
E15-NGRCA-091,bird,rbc,grca,7,nonnative,enriched,2015,5.99,15.58,-23.78,50.40,168,135,33
E15-NGRCA-093,bird,whole blood,grca,6,nonnative,enriched,2015,7.09,14.73,-24.19,48.75,141,125,16
E15-NGRCA-094,bird,rbc,grca,11,nonnative,enriched,2015,8.15,15.59,-24.11,50.42,173,134,39
E15-NGRCA-096,bird,rbc,grca,12,nonnative,enriched,2015,7.93,15.00,-24.68,48.38,153,121,32
E15-NGRCA-097,bird,rbc,grca,4,nonnative,enriched,2015,7.64,15.53,-23.75,50.19,147,122,25
E15-NGRCA-098,bird,rbc,grca,12,nonnative,enriched,2015,8.21,15.66,-24.75,50.39,163,121,42
E15-NGRCA-099,bird,rbc,grca,8,nonnative,enriched,2015,6.48,15.37,-24.48,49.57,162,138,24
E16-NGRCA-001,bird,rbc,grca,13,nonnative,enriched,2016,6.95,15.32,-21.38,50.24,195,125,70
E16-NGRCA-002,bird,rbc,grca,13,nonnative,enriched,2016,6.16,15.23,-22.73,50.28,193,125,68
E16-NGRCA-003,bird,rbc,grca,13,nonnative,enriched,2016,6.56,15.18,-22.57,49.76,146,125,21
E16-NGRCA-004,bird,rbc,grca,23,nonnative,enriched,2016,5.58,15.37,-24.31,50.22,154,127,27
N16-NGRCA-006,bird,rbc,grca,21,native,enriched,2016,7.31,14.31,-24.20,48.63,191,129,62
N16-NGRCA-007,bird,rbc,grca,24,native,enriched,2016,5.92,15.11,-23.33,48.95,172,155,17
N16-NGRCA-002,bird,rbc,grca,18,nonnative,control,2016,5.93,15.71,-25.41,50.08,124,129,0
N16-NGRCA-003,bird,rbc,grca,18,nonnative,control,2016,8.01,15.86,-24.37,50.70,120,129,0
N16-NGRCA-004,bird,rbc,grca,20,native,control,2016,6.44,15.75,-23.92,50.34,117,125,0
N16-NGRCA-005,bird,rbc,grca,14,native,control,2016,5.44,14.99,-24.45,49.00,124,139,0
