ID,taxa,tissue_type,species,site,site_type,sample_type,year,host.plant,Linear.corr.d15N,wt..N,Linear.corr.d13C,wt..C,cal_sample_date,enrich_day,days_since_enrich,cal_datecollected,enrich_day_real
17-CINSECT-042,arthropod,spider,spider,15,native,control,2015,willow oak,2.64,10.46,-26.88,48.55,127,127,NA,127,127
17-CINSECT-043,arthropod,spider,spider,3,native,control,2015,willow oak,4.85,11.41,-24.83,44.53,130,128,2,130,128
17-CINSECT-044,arthropod,spider,spider,16,nonnative,control,2015,crape myrtle,2.84,10.63,-27.73,49.34,125,125,NA,125,125
17-CINSECT-045,arthropod,spider,spider,5,nonnative,control,2015,crape myrtle,6.68,10.77,-27.14,49.84,137,139,NA,137,139
17-CINSECT-047,arthropod,spider,spider,7,nonnative,control,2015,burning bush,1.59,9.77,-26.08,45.85,132,135,7,132,125
17-CINSECT-048,arthropod,spider,spider,6,nonnative,control,2015,crape myrtle,3.24,12.47,-26.29,44.52,124,125,NA,124,125
17-CINSECT-049,arthropod,spider,spider,7,nonnative,control,2015,bush honeysuckle,4.38,8.23,-24.84,30.34,132,135,7,132,125
17-CINSECT-053,arthropod,spider,spider,13,native,control,2015,japanese cherry,-0.04,10.81,-26.93,47.39,177,140,37,177,140
17-CINSECT-055,arthropod,spider,spider,7,nonnative,control,2015,red maple,1.68,10.62,-31.45,47.92,171,135,46,171,125
17-CINSECT-029,arthropod,spider,spider,11,native,control,2015,flowering dogwood,5.34,9.95,-25.54,46.73,133,134,NA,133,134
17-CINSECT-030,arthropod,spider,spider,11,native,control,2015,english oak,4.61,10.46,-26.53,44.1,133,134,NA,133,134
17-CINSECT-031,arthropod,spider,spider,12,native,control,2015,fringetree,4.62,10.03,-24.07,43.43,130,130,NA,130,130
17-CINSECT-032,arthropod,spider,spider,12,native,control,2015,redbud,5.42,10.05,-25.91,44.76,130,130,NA,130,130
17-CINSECT-033,arthropod,spider,spider,15,native,control,2015,hawthorn,5.68,9.71,-26.24,44.19,127,127,NA,127,127
17-CINSECT-034,arthropod,spider,spider,1,native,control,2015,white oak,2.87,10.15,-26.58,42.93,130,130,NA,130,130
17-CINSECT-035,arthropod,spider,spider,14,native,control,2015,flowering dogwood,13.21,11.93,-26.27,45.56,117,120,NA,117,120
17-CINSECT-036,arthropod,spider,spider,5,nonnative,control,2015,chinese elm,6.45,9.26,-26.98,46.56,137,139,NA,137,139
17-CINSECT-037,arthropod,spider,spider,8,nonnative,control,2015,japanese maple,7.69,9.38,-25.92,46.52,131,138,NA,131,138
17-CINSECT-038,arthropod,spider,spider,8,nonnative,control,2015,kousa dogwood,4.99,9.6,-26.26,46.46,133,138,NA,133,138
17-NSPIDER-121,arthropod,spider,spider,13,native,enriched,2015,pin oak,6.95,8.81,-27.23,49.21,160,140,20,160,140
17-NSPIDER-122,arthropod,spider,spider,13,native,enriched,2015,flowering dogwood,10.56,10.47,-26.16,47.75,160,140,20,160,140
