,species,site,site_type,sample_type,d15N,d13c
1,american beech,13,native,control,3.24,-31.86
2,american beech,13,native,enriched,0.53,-32.00
3,american fringetree,15,native,control,2.18,-29.67
4,american fringetree,15,native,enriched,202.45,-30.31
5,apple,22,nonnative,control,7.83,-30.09
6,bamboo,17,nonnative,control,3.31,-31.49
7,bamboo,17,nonnative,enriched,42.49,-31.31
8,beech,3,native,control,2.14,-26.09
9,beech,3,native,enriched,1073.42,-27.07
10,black cherry,2,native,control,2.08,-28.11
11,black cherry,2,native,enriched,893.31,-30.39
12,black cherry,14,native,control,2.26,-25.62
13,black cherry,14,native,enriched,106.13,-26.85
14,black gum,19,native,control,3.49,-26.36
15,black gum,19,native,enriched,511.66,-29.40
16,bradford pear,6,nonnative,control,4.01,-29.06
17,bradford pear,6,nonnative,enriched,1181.32,-28.55
18,burning bush,7,nonnative,control,2.51,-29.02
19,burning bush,7,nonnative,enriched,127.89,-30.24
20,bush honeysuckle,6,nonnative,control,0.80,-30.76
21,bush honeysuckle,6,nonnative,enriched,337.93,-29.72
22,bush honeysuckle,7,nonnative,control,-0.06,-29.75
23,bush honeysuckle,7,nonnative,enriched,179.05,-29.99
24,bush honeysuckle,9,nonnative,enriched,275.68,-32.16
25,bush honeysuckle,11,nonnative,control,4.83,-30.05
26,bush honeysuckle,11,nonnative,enriched,257.79,-31.36
27,bush honeysuckle,17,nonnative,control,1.23,-28.22
28,carolina snowbell,2,native,control,1.40,-27.79
29,carolina snowbell,2,native,enriched,346.51,-29.54
30,chinese elm,5,nonnative,control,5.87,-28.71
31,chinese elm,5,nonnative,enriched,216.26,-28.95
32,crape myrtle,5,nonnative,control,6.18,-28.15
33,crape myrtle,5,nonnative,enriched,217.85,-27.44
34,crape myrtle,6,nonnative,control,1.34,-28.46
35,crape myrtle,6,nonnative,enriched,229.51,-27.81
36,crape myrtle,24,nonnative,control,1.48,-28.82
37,crape myrtle,24,nonnative,enriched,135.42,-28.81
38,crape myrtle,9,nonnative,enriched,125.18,-29.61
39,european plum,6,nonnative,control,3.20,-28.80
40,european plum,6,nonnative,enriched,522.59,-26.87
